,City,Country,Max Temp,Lat,Lng,Hotel Name
353,Kathmandu,NP,51.8,27.72,85.32,Hotel Shanker Kathmandu
356,Hanyang,CN,59.0,32.14,105.51,Forestry Hostel
357,Palmer,US,59.0,42.16,-72.33,Wedgewood Motel
358,Sakakah,SA,60.8,29.97,40.21,Fakhamat Al Orjoana Apartment
359,Lompoc,US,59.0,34.64,-120.46,Holiday Inn Express Lompoc
360,Kazerun,IR,55.42,29.62,51.65,آپارتمان بزرگ اویسا
361,Christchurch,NZ,64.99,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
362,Coihueco,CL,66.2,-36.62,-71.83,Frutillares Coihueco
363,Lumberton,US,66.99,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
364,Fergus Falls,US,62.01,46.28,-96.08,AmericInn by Wyndham Fergus Falls Conference Center
366,Lakewood,US,62.01,39.7,-105.08,"Motel 6 Lakewood, CO - Denver"
367,Akonolinga,CM,67.91,3.77,12.25,Le Diamant De Mireille
369,Riyadh,SA,64.4,24.69,46.72,InterContinental Riyadh
371,Sorland,NO,46.42,67.67,12.69,Sjybrygga fiskecamp
372,Mount Gambier,AU,57.2,-37.83,140.77,Commodore on the Park
373,Nivala,FI,45.0,63.92,24.97,Hotelli Huiskankorpi / Aseman majatalo
374,Kostomuksha,RU,37.81,64.57,30.58,U Mikhailicha
376,Sturgeon Bay,US,62.6,44.83,-87.38,AmericInn by Wyndham Sturgeon Bay
377,Fenoarivo,MG,64.4,-18.93,47.44,Skyfol Ambodiafontsy
382,Ponta Delgada,PT,64.4,37.73,-25.67,Vila Nova Hotel
383,Komsomolskiy,UZ,37.4,40.43,71.72,Ikathouse
384,Havre-Saint-Pierre,CA,33.8,50.23,-63.6,Auberge Niapiskau
386,Bay Roberts,CA,51.8,47.6,-53.26,Stonewall Inn
387,Xuddur,SO,72.46,4.12,43.89,Banjanay Hotel
388,Huanuco,PE,63.52,-9.93,-76.24,Hostal Miraflores
389,Ketchikan,US,39.2,55.34,-131.65,Snows Cove Lodge
393,Quatre Cocos,MU,69.01,-20.21,57.76,Emeraude Beach Attitude Hotel
394,Santa Maria,BR,69.8,-29.68,-53.81,Hotel Morotin
396,Laguna,US,60.8,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
397,Huilong,CN,69.01,31.81,121.66,Hilton Garden Inn Qidong
399,Kijang,KR,59.0,35.24,129.21,Brown Dot Gijang Yeonhwari
401,Saint Anthony,US,68.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
403,Bayir,TR,57.2,37.27,28.22,Buban Otel
405,Nador,MA,69.8,35.17,-2.93,Airport hotel
408,Bierbeek,BE,37.4,50.83,4.76,Bremberg Hotel
410,Moose Factory,CA,33.8,51.26,-80.61,Cree Village Eco Lodge
412,Kelamangalam,IN,69.8,12.6,77.85,Edu City
413,Portree,GB,45.0,57.41,-6.19,The Royal Hotel
415,Sugar Hill,US,63.0,34.11,-84.03,Holiday Inn Express & Suites Buford-Mall of GA
417,Castro,BR,54.55,-24.79,-50.01,CHACARA BAILLY
418,Corbelia,BR,67.21,-24.8,-53.31,Hotel Peroza
419,Oktyabrskiy,RU,39.22,54.48,53.47,Уязы-Тау гостиница
420,Ottawa,CA,57.2,45.41,-75.7,Delta Hotels by Marriott Ottawa City Centre
424,Freeport,US,60.01,40.66,-73.58,The Freeport Inn and Marina
425,Khash,IR,45.03,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
427,Rincon,US,71.6,32.3,-81.24,Bent tree subdivision
429,Aswan,EG,63.25,24.09,32.91,Nuba Nile
434,Comodoro Rivadavia,AR,50.0,-45.87,-67.5,Austral Hotel
435,Preobrazhenka,UA,44.6,47.57,35.82,дет. притон
438,Waitati,NZ,62.01,-45.75,170.57,Arden Country House Dunedin
440,Nouadhibou,MR,71.6,20.93,-17.03,El Medina
441,Antofagasta,CL,60.8,-23.65,-70.4,Holiday Inn Express Antofagasta
442,Nyakahanga,TZ,59.14,-1.6,31.14,Triple P Hotel
444,Agbor,NG,74.25,6.25,6.19,MIRAMAS HOTEL
447,Dutse,NG,68.7,11.76,9.34,Kaci
449,Xunchang,CN,60.67,28.45,104.72,Jiabin Inn
453,Charlestown,AU,69.8,-32.95,151.67,Panorama Motor Inn Hotel
457,Kutum,SD,61.75,14.2,24.67,Dibbo areaمنطقة دبو
458,Huambo,AO,62.38,-12.78,15.74,SiSHotel
461,Pipri,IN,59.0,19.8,75.53,Sukhana River nilu and rushi home
463,Masallatah,LY,65.07,32.62,14.0,Mohamed Ahmed Salem
465,Cruzeiro Do Sul,BR,66.0,-29.51,-51.99,Estrela Palace Hotel
466,Buraydah,SA,69.8,26.33,43.98,Mövenpick Hotel Qassim
467,Ajdabiya,LY,63.43,30.76,20.23,الحاج سليمان الشترة
470,Kars,TR,39.2,40.6,43.09,Kars Otel
471,Beli Manastir,HR,39.0,45.77,18.6,Hotel Patria
473,Pimentel,PE,64.4,-6.84,-79.93,Casona Del Muelle
475,Te Anau,NZ,56.17,-45.42,167.72,Kingsgate Hotel Te Anau
476,Coihaique,CL,53.6,-45.58,-72.07,Diego De Almagro Coyhaique
478,Swellendam,ZA,51.8,-34.02,20.44,De Kloof Luxury Estate boutique Hotel & SPA
480,Ilam,NP,53.42,26.92,87.92,Chiyabari Cottage
482,Lagoa,PT,58.46,39.05,-27.98,Casa Das Faias
484,Grand Gaube,MU,69.01,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
486,Preobrazheniye,RU,53.31,42.9,133.91,Campsite Orlan
490,Kamyzyak,RU,44.6,46.11,48.07,Mini Hotel Hutorok
492,Kishi,NG,73.89,9.08,3.85,AMARC GUEST HOUSE
493,Kingsland,US,71.01,30.8,-81.69,Microtel Inn & Suites by Wyndham Kingsland
496,Vila Velha,BR,73.4,-20.33,-40.29,Hotel Vitória Palace
497,Baiyin,CN,39.99,36.56,104.21,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
498,Mahebourg,MU,68.0,-20.41,57.7,Shandrani Beachcomber Resort & Spa
500,Pelotas,BR,66.0,-31.77,-52.34,Hotéis Jacques Georges Tower
501,Kirkwall,GB,44.6,58.98,-2.96,Ayre Hotel
504,Jefferson City,US,71.6,38.58,-92.17,DoubleTree by Hilton Hotel Jefferson City
505,Muscat,OM,73.4,23.61,58.59,Mutrah Hotel
